"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"65718_at",-2.98118617995709,6.07606655155309,-17.1914235523958,7.34104778465235e-26,3.71640544098025e-23,48.5443368227555
"238050_at",-2.40664054959233,4.74136521255781,-17.1706096334541,7.83168522408873e-26,3.9284164185968e-23,48.4804664185825
"223529_at",-3.31897758578101,6.6656521499617,-17.1447508170608,8.48776315663204e-26,4.21880409626233e-23,48.4010417611649
"1559413_at",-2.20652007655947,4.90359854396301,-17.0985516167071,9.80162169896901e-26,4.82796095847866e-23,48.2589397703669
"211329_x_at",-2.51527275698351,6.48796637325249,-17.0916997070377,1.00133039756349e-25,4.88819102560567e-23,48.2378421744239
"236130_at",-2.94263142427011,6.20544029487696,-17.0748573477672,1.05535113730491e-25,5.10631180815453e-23,48.1859588488381
"1553148_a_at",-2.57813772516749,5.41466303933358,-17.0669423337596,1.08174766787821e-25,5.1881187492317e-23,48.1615645004462
"242699_at",-2.93940811246864,5.22156952399211,-17.0203110002929,1.25141313928781e-25,5.94965333830965e-23,48.0176899517144
"225794_s_at",2.21030205934172,11.9499391794746,16.9278646107831,1.67174974044493e-25,7.87956181541609e-23,47.7316735613886
"224473_x_at",3.2622457517976,11.2915507216938,16.894716042055,1.8551353200657e-25,8.66919005338396e-23,47.6288614356935
"1556339_a_at",-2.93943338444976,5.49790881472955,-16.7915316256217,2.56713481144082e-25,1.18947538826718e-22,47.3079650038548
"1556905_at",-4.41895404720063,5.95465515931603,-16.7697197401083,2.75004622553794e-25,1.26351913765787e-22,47.2399637068561
"1556658_a_at",-3.03725504386367,4.89170617184402,-16.7352475766626,3.06641715957554e-25,1.39713631833161e-22,47.1323727219378
"222796_at",-3.13334745905958,6.12446560272287,-16.6669074202721,3.80685745282142e-25,1.72016472093397e-22,46.9186423579388
"1557037_a_at",4.03900613547367,5.64675157865982,16.6118534119097,4.53331516633515e-25,2.03163120261782e-22,46.7460432442668
"1569759_at",-2.57917005487177,4.41583003495988,-16.5870908733256,4.90436992652302e-25,2.18005224172883e-22,46.668287964904
"239692_at",-1.61814132910377,4.79927842701757,-16.565322214186,5.25588581464218e-25,2.31737528762501e-22,46.5998706867028
"200708_at",3.0138333147324,11.8810012763724,16.5628094970887,5.29806878743715e-25,2.31737528762501e-22,46.5919696132117
"202483_s_at",2.99653426585298,11.4317793926379,16.5241599755787,5.99182007832133e-25,2.58750257228432e-22,46.4703398286262
"237416_at",-2.2029032112887,3.82769652487091,-16.5231937890634,6.01029404078845e-25,2.58750257228432e-22,46.4672968652682
"32836_at",2.72746785691575,10.9008209896789,16.4882854079864,6.71788670282194e-25,2.86953480841242e-22,46.3572764358613
"202559_x_at",2.80660537649306,11.2005353328846,16.4744638645886,7.02083356099951e-25,2.97569050347014e-22,46.3136732454693
"241761_at",-2.47840134313165,4.82123575798413,-16.4670186394387,7.18971278908424e-25,3.00212340227739e-22,46.2901757257382
"237865_x_at",-3.08190165505156,4.89715173111598,-16.4668747718167,7.19301629077894e-25,3.00212340227739e-22,46.289721603926
"1566253_at",-1.97315492989015,4.79024834461278,-16.4151555506033,8.48595160874631e-25,3.51491972885003e-22,46.1263012018217
"1559664_at",-2.29608498252419,4.79256964801699,-16.4011787174772,8.87412001350647e-25,3.64806399803358e-22,46.0820804065212
"239661_at",-2.31535103451767,5.40699158091345,-16.3907173454343,9.17637215559827e-25,3.74416528065176e-22,46.0489660728803
"240053_x_at",-2.21557526867305,4.57934514168618,-16.3845633090506,9.35902063699327e-25,3.79040335798227e-22,46.0294797482451
"243814_at",3.35313306478736,6.8786330417546,16.3748628152664,9.65442558353934e-25,3.88129204985304e-22,45.9987541966079
"220855_at",-2.98815068395974,4.51577752264359,-16.3409577801869,1.07630752989997e-24,4.28267033506844e-22,45.8912701488052
"1554065_at",-1.82953556468914,5.56630960358374,-16.3396167156912,1.08094834245897e-24,4.28267033506844e-22,45.8870158138816
"233741_at",1.57325274370453,8.15116600311753,16.2044842255126,1.66945900950362e-24,6.56673894565541e-22,45.4571705194263
"1559993_at",-2.34905863350166,5.93296720548003,-16.1858330137992,1.77298805766572e-24,6.92415157520521e-22,45.3976623219423
"239432_at",-1.79419219277254,5.5960206957324,-16.1821977667235,1.79391091629958e-24,6.95617584033189e-22,45.3860586727788
"217232_x_at",-4.53506294932809,8.4169570560266,-16.1407374044438,2.05097317770832e-24,7.89696890783115e-22,45.2536001028717
"1566868_at",-2.13471258959299,5.49723263046789,-16.1274700299211,2.14086941359502e-24,8.18545700617538e-22,45.2111674073149
"202435_s_at",4.75006181053643,10.4190570143351,16.1113640003059,2.25537605907451e-24,8.56338097429854e-22,45.1596260738902
"224882_at",1.49828567353356,8.2516980022782,16.1006822579228,2.33471712650613e-24,8.80349371667054e-22,45.1254250890968
"222303_at",-2.79729829109885,6.39561974793694,-16.0701819932543,2.57716193632266e-24,9.65111841564665e-22,45.0276895085777
"231480_at",-2.1565263969465,5.99606628169734,-16.0559674413206,2.69870514305974e-24,1.00375308637273e-21,44.9820999919276
"232001_at",4.39905032805479,9.42533552858931,16.0336967951213,2.90090496762516e-24,1.07166877773585e-21,44.9106212519832
"233053_at",-2.89951186809296,4.78752336852014,-16.0264156523375,2.97028366783163e-24,1.08978522766964e-21,44.8872384535529
"1563303_at",-2.07542515276579,5.33323799831033,-16.0243975610511,2.98980858071233e-24,1.08978522766964e-21,44.8807563298765
"243201_at",-2.38422723920389,4.94969775128713,-16.0148269810382,3.08418628354037e-24,1.11674096061304e-21,44.8500085389012
"243841_at",2.17945395875148,6.67803414905149,16.0076134544602,3.15730782099323e-24,1.13569608626845e-21,44.8268256851568
"201334_s_at",2.3451798283686,11.9068735234714,16.002668089661,3.20844861392699e-24,1.14654854880038e-21,44.8109284494952
"222366_at",-2.56639257359705,6.11929706961787,-15.9980905571668,3.25653221895651e-24,1.15617466929511e-21,44.7962108771058
"203908_at",-4.03623697073514,6.14611789501305,-15.9772999566674,3.48426571197241e-24,1.22904663098124e-21,44.7293320283508
"244611_at",-2.69331802606079,4.74333540870686,-15.9488942992619,3.82170038635338e-24,1.33943249117866e-21,44.6378686221057
"240420_at",-3.29164256067775,5.07457000258616,-15.9344633432253,4.00560564243897e-24,1.39494578662644e-21,44.5913631653384
"205615_at",-2.88805184071213,4.4153869722107,-15.9228173052044,4.16053105762742e-24,1.43972807326442e-21,44.5538131633854
"1562270_at",-2.41532673306629,3.96325063030392,-15.9094382733159,4.34600949257442e-24,1.49445326419186e-21,44.5106542618131
"242124_at",-1.94457062173842,6.78511420408649,-15.8915029846196,4.60784916362954e-24,1.57458845638403e-21,44.4527618380378
"204959_at",-4.02107285975166,7.18581747039062,-15.8697687240445,4.94664294918058e-24,1.6798615108475e-21,44.3825521152
"1564077_at",-3.06643732387686,4.64298645797494,-15.8403805928902,5.44519908511553e-24,1.83775469122649e-21,44.2875220174628
"233607_at",-2.25668172870012,6.39351871598407,-15.8120432930658,5.97405892577364e-24,2.00387528691211e-21,44.1957858129447
"1562903_at",-3.39053088535305,5.91113764608609,-15.7851367898443,6.52427756630081e-24,2.17509070693596e-21,44.1085868487176
"231889_at",-2.01283234129152,4.9741632787662,-15.7749344462604,6.74607259552014e-24,2.23540314642463e-21,44.0754988255402
"209116_x_at",-5.11057862867577,7.90586970843892,-15.7608851269512,7.06404095676388e-24,2.32666529705461e-21,44.0299126476921
"1560443_at",-1.97743295505356,5.82678204230679,-15.7355194501621,7.67703370898583e-24,2.51342406011258e-21,43.9475442227073
"240096_at",-1.975217034417,4.94476209408164,-15.7268142675972,7.89958503020768e-24,2.57089173527741e-21,43.9192574818938
"202987_at",-3.17017059603562,4.69705141893099,-15.7186439118939,8.11439816277468e-24,2.6251758553237e-21,43.8926998117183
"243630_at",-3.16896800440367,5.67838518228502,-15.6900013752621,8.915234260345e-24,2.86729666579037e-21,43.7995301454414
"222124_at",4.88892858539323,11.4660487197695,15.6780137146458,9.27371435147849e-24,2.96514814132799e-21,43.7605050462409
"1559362_at",-2.6211678967332,3.72975795845863,-15.651418460163,1.01219695920773e-23,3.21755050841177e-21,43.6738602011791
"215506_s_at",-4.05823596214639,6.31643425460947,-15.6242498478976,1.10696807307402e-23,3.49846701707063e-21,43.5852539528227
"1560755_at",-5.27416106943801,3.84577353601981,-15.608138917769,1.16735709726944e-23,3.66811777547166e-21,43.5326659921598
"220328_at",-2.29092531924051,4.58245908320647,-15.5754491705051,1.30033097606016e-23,4.06260549234795e-21,43.4258606293954
"231986_at",-2.04570982786404,5.56582369528305,-15.5456427128792,1.43490131962809e-23,4.45756986651511e-21,43.3283562506095
"238512_at",-3.63435747111972,7.0477582242742,-15.4931494380239,1.70710083370355e-23,5.27320554139783e-21,43.1563603674564
"1557606_at",-2.98493529085294,3.97016215071828,-15.4328357110895,2.08506119909539e-23,6.4045348910416e-21,42.9583033504383
"1560813_at",-2.53435218216381,3.56654294290085,-15.4285036787846,2.11526641761382e-23,6.46101627838187e-21,42.9440598968351
"218320_s_at",2.28235255902213,11.3983133442954,15.416864124863,2.19863400229378e-23,6.67835078196736e-21,42.9057778008446
"231281_at",-2.5295601404199,6.44987744776134,-15.4031788468953,2.30091599740078e-23,6.95041890375071e-21,42.8607450774896
"204260_at",-3.57547323021272,5.87005557009861,-15.3999626301736,2.32564396636108e-23,6.98651559674682e-21,42.8501583069017
"238197_at",-2.42716491244613,6.10998417402763,-15.3932575448489,2.37806391918047e-23,7.10495326673182e-21,42.8280829975469
"1552845_at",-2.79624290173487,7.35495241808223,-15.3750472406009,2.52654174910677e-23,7.5075364202398e-21,42.7680995597391
"210598_at",-2.36204420916395,5.24337523098136,-15.3732104469885,2.54202923612109e-23,7.51272694513085e-21,42.7620469206616
"227195_at",2.01079401971968,11.7925101812294,15.3360703094295,2.87663783475466e-23,8.45592331264574e-21,42.6395686829957
"242400_at",-1.44326760440107,5.44598488900068,-15.3160675484804,3.07496519782427e-23,8.9794359660544e-21,42.5735312152882
"202781_s_at",-1.95828999844874,6.96947649730248,-15.3148398178333,3.08757926221898e-23,8.9794359660544e-21,42.5694762819491
"1555003_at",-6.26313817892785,3.34915999874359,-15.2915693407085,3.33681568794382e-23,9.65293109726604e-21,42.4925820482225
"1563802_at",-1.68143305351186,6.95228709082848,-15.2864868421478,3.39390453623551e-23,9.76640686940402e-21,42.4757782966888
"1562378_s_at",1.38169347828246,8.43692832666007,15.280416389789,3.46338656378985e-23,9.91417070027277e-21,42.4557038014293
"1561362_at",-2.60178769675142,4.68082488583794,-15.2788294764648,3.4817862874405e-23,9.91493048259424e-21,42.4504552225871
"231848_x_at",-2.39480382982575,7.94517285823028,-15.2463284526882,3.88115643454636e-23,1.0994934096312e-20,42.342889321794
"213447_at",3.76600019685187,11.5544975732236,15.2362173447883,4.01461684362653e-23,1.13143905116124e-20,42.3093975970071
"217512_at",-3.33955323997118,5.08440730123032,-15.22674054602,4.14391644705511e-23,1.16189041919353e-20,42.2779949379496
"222023_at",-2.54311944794698,4.44908802646875,-15.2104164415739,4.37659524117055e-23,1.22086910617857e-20,42.2238755670747
"240363_at",-2.07779387067693,5.32179070999599,-15.1951209015043,4.60659505838514e-23,1.27850550668633e-20,42.1731349163216
"1567664_at",-5.89795119678082,5.05857875637709,-15.192166748805,4.65240597452158e-23,1.28469846796448e-20,42.1633314714869
"228415_at",2.56316903767746,10.8208720947553,15.1742574775837,4.94016418492337e-23,1.35730390357128e-20,42.103874833327
"207133_x_at",-3.63915769649954,6.09246592596481,-15.1428854939328,5.48832611761715e-23,1.50037115240359e-20,41.9996235069583
"1568916_at",2.2767263950954,5.54480801616124,15.1114395597252,6.09958165114788e-23,1.65917724764433e-20,41.8949984765981
"221205_at",-3.6874838998654,3.64160305074795,-15.0513037641246,7.46708906141838e-23,2.02110442788639e-20,41.6945611964046
"207175_at",-3.6794842437493,5.38046110670268,-15.0061922637698,8.69328071199923e-23,2.3414045464461e-20,41.5438929563073
"1553046_s_at",-2.16047549928104,7.11590330494982,-15.0030385050872,8.78626326411005e-23,2.35484776453538e-20,41.5333498090523
"222153_at",-2.50984904031862,3.75896089038759,-14.953496218028,1.03862581670982e-22,2.77009105017606e-20,41.3675582287059
"236040_at",-1.95511807421397,6.37549331089464,-14.937167774202,1.09757604781101e-22,2.91310535990616e-20,41.3128457261411
"214057_at",-1.85573732825369,6.16373194017546,-14.9277244883426,1.13320147652382e-22,2.99312998690531e-20,41.281187825516
"208211_s_at",-1.67347866687117,7.02010294452904,-14.8870599964344,1.30047064378596e-22,3.41842463697103e-20,41.1447306221298
"234190_at",-1.6701072802808,5.7170399625476,-14.8382822927142,1.5344172126331e-22,4.01407947850309e-20,40.980764017186
"205440_s_at",-4.84711994559191,6.25439267291584,-14.817523046912,1.64648832090385e-22,4.28674994978181e-20,40.9108876268877
"206529_x_at",-3.24947416138416,5.30224490802031,-14.8025337794534,1.73252361249723e-22,4.48937101958703e-20,40.8603982750599
"243781_at",-5.52918372868672,6.46227570999858,-14.7983985923153,1.75704896952846e-22,4.51326238301252e-20,40.8464642925535
"236155_at",-1.9073074148913,6.10119551053763,-14.798197069533,1.75825310943149e-22,4.51326238301252e-20,40.8457851816852
"1563721_at",-3.06642500150423,4.10955682993376,-14.7884907592421,1.81724904617499e-22,4.64290147661764e-20,40.8130696530115
"237502_at",-1.92810671344435,6.21094834859256,-14.7825066966863,1.85461403101082e-22,4.71632661141937e-20,40.7928939953666
"215992_s_at",-3.3278083562673,4.73233680667513,-14.7698140065894,1.93645988187128e-22,4.90166407598669e-20,40.7500843025007
