"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"221152_at",-1.54596908897058,3.67872209929025,-6.07339313577763,0.000218323826765868,0.00655871166396913,0.986641962638982
"215646_s_at",3.02173112782114,5.27310041524456,6.07214489047661,0.000218644989558511,0.00656360503588424,0.985141181186003
"215947_s_at",1.1806130899585,8.73063424970176,6.07150578101788,0.000218809626671209,0.00656360503588424,0.984372684908458
"203335_at",-1.34726943478477,8.33940880632847,-6.07101660328096,0.000218935732277431,0.00656360503588424,0.983784434138129
"227317_at",-1.48285536445796,4.93131709757687,-6.07041684834775,0.000219090452038491,0.00656360503588424,0.983063164043703
"204561_x_at",3.67318123789128,3.35724591953425,6.07010752669424,0.000219170294933628,0.00656360503588424,0.982691151122082
"222622_at",2.02913738831043,7.22512778191609,6.06996536284597,0.000219207001289888,0.00656360503588424,0.982520169829381
"236277_at",-2.64814474237755,5.89724972613547,-6.06709478369921,0.000219949616411782,0.00657797891687125,0.97906708553499
"225795_at",-2.04052028185073,8.8170480530994,-6.06647683392155,0.000220109838430333,0.00657797891687125,0.978323584783561
"221097_s_at",-2.08021215055634,5.51772695021158,-6.06635901129337,0.000220140401950724,0.00657797891687125,0.978181817492414
"226891_at",1.46192024203137,7.14273506589389,6.06625150679016,0.000220168292965238,0.00657797891687125,0.978052463498618
"215983_s_at",-1.17224970623919,8.09116620437943,-6.06391399517277,0.000220775693408957,0.00659252377779068,0.975239458874137
"230730_at",-1.87887001732877,6.94390397052747,-6.0625566430194,0.000221129240113481,0.0065994766393038,0.97360563539576
"205080_at",-1.95665217977892,6.08686552638315,-6.06132122936655,0.000221451563391899,0.00660549057744247,0.972118356874216
"206125_s_at",5.82889328385034,6.10442842579069,6.05949470998579,0.000221929048648198,0.00661612362859337,0.969919060864829
"237269_at",4.19425194068075,5.68314609726235,6.05855097439849,0.000222176198766043,0.00661828905587862,0.968782528912373
"226702_at",1.58098082214052,7.15026569450616,6.05829311460053,0.00022224378064185,0.00661828905587862,0.968471968461218
