"gene","MeanDecreaseGini"
"242260_at",0
"239756_at",0
"209773_s_at",0
"1566968_at",0
"211024_s_at",0
"1555229_a_at",0
"229183_at",0
"211422_at",0
"219909_at",0
"1570338_at",0
"1557867_s_at",0
"240509_s_at",0
"226088_at",0
"1405_i_at",0
"214133_at",0
"205366_s_at",0
"224762_at",0
"203716_s_at",0
"1561579_at",0
"202768_at",0
"231033_at",0
"241390_at",0
"228598_at",0
"219630_at",0
"204338_s_at",0
"214836_x_at",0
"203780_at",0
"216839_at",0
"202238_s_at",0
"226980_at",0
"206354_at",0
"201596_x_at",0
"230526_at",0
"216491_x_at",0
"232360_at",0
"206007_at",0
"212858_at",0
"228762_at",0
"239370_at",0
"215447_at",0
"209469_at",0
"202005_at",0
"227985_at",0
"224795_x_at",0
"234552_at",0
"205817_at",0
"213523_at",0
"205190_at",0
"239991_at",0
"242137_at",0
"231073_at",0
"205051_s_at",0
"213317_at",0
"228195_at",0
"205765_at",0
"205185_at",0
"1570482_at",0
"1558795_at",0
"208383_s_at",0
"216623_x_at",0
"206286_s_at",0
"228323_at",0
"214669_x_at",0
"227450_at",0
"206001_at",0
"230323_s_at",0
"226147_s_at",0
"241031_at",0
"232694_at",0
"219737_s_at",0
"220177_s_at",0
"221204_s_at",0
"205128_x_at",0
"219263_at",0
"219197_s_at",0
"241310_at",0
"1561394_s_at",0
"210652_s_at",0
"219985_at",0
"230406_at",0
"236028_at",0
"230527_at",0
"209758_s_at",0
"210274_at",0
"205101_at",0
"229177_at",0
"205363_at",0
"220325_at",0
"215664_s_at",0
"209008_x_at",0
"211645_x_at",0
"206434_at",0
"205229_s_at",0
"238234_at",0
"204777_s_at",0
"233000_x_at",0
"210663_s_at",0
"204621_s_at",0
"206122_at",0
"1552910_at",0
"206239_s_at",0
"210262_at",0
"218804_at",0
"205239_at",0
"206359_at",0
"210445_at",0
"205619_s_at",0
"241764_at",0
"214510_at",0
"1558139_at",0
"203554_x_at",0
"242856_at",0
"239984_at",0
"203009_at",0
"219388_at",0
"223232_s_at",0
"215121_x_at",0
"1563035_x_at",0
"41469_at",0
"1556423_at",0
"204622_x_at",0
"201820_at",0
"232604_at",0
"231250_at",0
"221701_s_at",0
"227753_at",0
"219742_at",0
"229641_at",0
"208335_s_at",0
"226096_at",0
"238625_at",0
"236602_at",0
"228973_at",0
"205293_x_at",0
"1553169_at",0
"203917_at",0
"209053_s_at",0
"233772_at",0
"1564840_at",0
"202208_s_at",0
"210065_s_at",0
"1569290_s_at",0
"219395_at",0
"205328_at",0
"121_at",0
"233220_at",0
"211527_x_at",0
"231736_x_at",0
"219695_at",0
"229538_s_at",0
"205403_at",0
"207113_s_at",0
"226420_at",0
"236739_at",0
"223381_at",0
"1561280_at",0
"203649_s_at",0
"229973_at",0
"224753_at",0
"229160_at",0
"1554836_at",0
"204126_s_at",0
"204561_x_at",0
"220540_at",0
"226167_at",0
"242773_at",0
"244612_at",0
"219478_at",0
"201283_s_at",0
"1562321_at",0
"1565809_x_at",0
"228994_at",0
"218857_s_at",0
"202206_at",0
"236448_at",0
"238125_at",0
"232856_at",0
"202988_s_at",0
"204086_at",0
"206069_s_at",0
"206526_at",0
"226374_at",0
"203238_s_at",0
"227361_at",0
"204895_x_at",0
"1558496_at",0
"208102_s_at",0
"202793_at",0
"1554438_at",0
"208606_s_at",0
"1558217_at",0
"239272_at",0
"220584_at",0
"205350_at",0
"207802_at",0
"205535_s_at",0
"1554897_s_at",0
"206691_s_at",0
"228262_at",0
"240236_at",0
"233446_at",0
"220709_at",0
"233092_s_at",0
"205165_at",0
"220110_s_at",0
"210394_x_at",0
"234632_x_at",0
"210559_s_at",0
"37079_at",0
"1556368_at",0
"234105_at",0
"224516_s_at",0
"222958_s_at",0
"218599_at",0
"207149_at",0
"213479_at",0
"228033_at",0
"1555867_at",0
"204755_x_at",0
"204541_at",0
"1552623_at",0
"226535_at",0
"235247_at",0
"219650_at",0
"1563316_at",0
"242836_at",0
"231181_at",0
"212315_s_at",0
"227697_at",0
"216328_at",0
"210064_s_at",0
"238901_at",0
"210029_at",0
"213707_s_at",0
"212070_at",0
"202363_at",0
"205751_at",0
"215151_at",0
"217452_s_at",0
"201689_s_at",0
"207177_at",0
"231124_x_at",0
"231382_at",0
"207517_at",0
"1552502_s_at",0
"35666_at",0
"240988_x_at",0
"1558828_s_at",0
"1562295_at",0
"228554_at",0
"217224_at",0
"204717_s_at",0
"212937_s_at",0
"1569150_x_at",0
"219049_at",0
"213791_at",0
"232666_at",0
"200862_at",0
"209270_at",0
"207739_s_at",0
"239752_at",0
"243599_at",0
"227347_x_at",0
"210084_x_at",0
"202036_s_at",0
"233465_at",0
"226129_at",0
"220994_s_at",0
"230781_at",0
"1555778_a_at",0
"237151_s_at",0
"223075_s_at",0
"220664_at",0
"216063_at",0
"204542_at",0
"243689_s_at",0
"242857_at",0
"230544_at",0
"239834_at",0
"223660_at",0
"213230_at",0
"215801_at",0
"213925_at",0
"214595_at",0
"227919_at",0
"205214_at",0
"232712_at",0
"215643_at",0
"1561880_a_at",0
"207160_at",0
"233437_at",0
"215059_at",0
"1552348_at",0
"243140_at",0
"1563533_at",0
"239990_at",0
"230710_at",0
"203510_at",0
"231077_at",0
"222835_at",0
"232556_at",0
"238592_at",0
"213071_at",0
"203233_at",0
"226622_at",0
"1569142_at",0
"239921_at",0
"205833_s_at",0
"236682_at",0
"205421_at",0
"204913_s_at",0
"233634_at",0
"241224_x_at",0
"235373_at",0
"226548_at",0
"204111_at",0
"215723_s_at",0
"207259_at",0
"214279_s_at",0
"202409_at",0
"204933_s_at",0
"207864_at",0
"1554356_at",0
"211778_s_at",0
"205572_at",0
"242752_at",0
"241478_at",0
"241726_at",0
"1555282_a_at",0
"215946_x_at",0
"231721_at",0
"1562261_at",0
"238669_at",0
"204856_at",0
"206157_at",0
"207016_s_at",0
"233113_at",0
"222959_at",0
"212020_s_at",0
"211843_x_at",0
"211726_s_at",0
"206658_at",0
"1569453_a_at",0
"1562281_at",0
"223737_x_at",0
"214452_at",0
"204972_at",0
"207550_at",0
"237802_at",0
"205597_at",0
"234104_at",0
"237974_at",0
"220269_at",0
"235316_at",0
"209987_s_at",0
"228126_x_at",0
"240654_at",0
"206439_at",0
"228360_at",0
"1554375_a_at",0
"214146_s_at",0
"209840_s_at",0
"205568_at",0
"211571_s_at",0
"206153_at",0
"233691_at",0
"235955_at",0
"221886_at",0
"1552954_at",0
"230680_at",0
"230319_at",0
"221665_s_at",0
"227971_at",0
"206947_at",0
"244677_at",0
"202241_at",0
"236892_s_at",0
"206737_at",0
"220528_at",0
"233955_x_at",0
"237625_s_at",0
"230587_at",0
"1553694_a_at",0
"214602_at",0
"1560757_at",0
"208502_s_at",0
"235739_at",0
"206115_at",0
"224012_at",0
"233136_at",0
"215116_s_at",0
"239150_at",0
"222996_s_at",0
"203820_s_at",0
"232944_at",0
"208286_x_at",0
"1558014_s_at",0
"214528_s_at",0
"233498_at",0
"226506_at",0
"201005_at",0
"1557014_a_at",0
"212236_x_at",0
"209988_s_at",0
"235874_at",0
"206375_s_at",0
"230625_s_at",0
"244771_at",0
"222102_at",0
"204121_at",0
"228462_at",0
"205046_at",0
"239155_at",0
"1569582_at",0
"224198_at",0
"205675_at",0
"214978_s_at",0
"217132_at",0
"227550_at",0
"240420_at",0
"206134_at",0
"231487_at",0
"230743_at",0
"217546_at",0
